SKU,Artikal,kolicina_sum,nabavna_sum,prodajna_sum,marza_sum,doc_count,first_date,last_date
AF-1,AF-1 - Rep crni afro(AF-1),180,184809.41,784980,600170.59,3,2025-01-28,2025-12-30
AF-10,AF-10 - Rep svetlo smeda afro(AF-10),30,31067.64,133500,102432.35999999999,2,2025-01-28,2025-08-13
AF-4,AF-4 - Rep tamno smeda afro(AF-4),100,103184.1,445000,341815.9,2,2025-01-28,2025-08-13
AF-6,AF-6 - Rep smeda afro(AF-6),90,93202.93,400500,307297.07,2,2025-01-28,2025-08-13
AF-613,Rep svetlo plava afro(AF-613),70,69715.33,311500,241784.67,2,2025-05-08,2025-08-13
AF-613/K16(AF-613/K16),AF-613/K16(AF-613/K16),20,22210.58,89000,66789.42,1,2025-01-28,2025-01-28
AF-BRO,Rep bronza afro(AF-BRO),15,14971.76,66750,51778.24,1,2025-08-13,2025-08-13
AF-CRV,AF-CRV - Rep crvena afro(AF-CRV),20,19885.9,89000,69114.1,2,2025-05-08,2025-08-13
AF-K16,AF-K16 - Rep tamno plava afro(AF-K16),100,103031.20999999999,445000,341968.79000000004,3,2025-01-28,2025-08-13
AF-MHG,Rep Mahagoni afro(AF-MHG),30,31067.64,133500,102432.35999999999,2,2025-01-28,2025-08-13
AF-SMEDPR,Rep sv. smedi s pram. afro(AF-SMEDPR),70,69868.22,311500,241631.78,1,2025-08-13,2025-08-13
AF-SMO,Rep smeda ombre afro(AF-SMO),40,40480.229999999996,178000,137519.77000000002,3,2025-01-28,2025-10-27
AF-SMP,AF-SMP - Rep smede plava afro(AF-SMP),90,91925.91,400500,308574.09,3,2025-01-28,2025-08-13
AR-1B,Ariana crni(AR-1B),230,182340.21999999997,888980,706639.78,3,2025-05-08,2025-12-30
AR-2,Ariana najtamnija smeda(AR-2),185,149095.24,738150,589054.76,4,2025-01-28,2025-12-30
AR-4,Ariana tamno smedi(AR-4),275,219243.03999999998,1097250,878006.9600000001,5,2025-01-28,2025-12-30
AR-6,Arijana smedi(AR-6),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
AR-613,Arijana svetlo plavi(AR-613),115,93190.02,458850,365659.98,4,2025-01-28,2025-12-30
AR-BAK,Ariana bakrena(AR-BAK),20,15717.97,79800,64082.03,1,2025-12-30,2025-12-30
AR-K16,Ariana tamno plavi(AR-K16),175,141549.3,691070,549520.7,4,2025-01-28,2025-12-30
AR-Najpl,Ariana najtamnija plava(AR-Najpl),35,27529.699999999997,139650,112120.3,2,2025-05-08,2025-10-27
AR-PLO,Ariana platinum ombre(AR-PLO),115,93700.82,457370,363669.18,4,2025-01-28,2025-12-30
AR-SMO,Arijana smedi ombre(AR-SMO),90,71234.7,341150,269915.3,2,2025-08-13,2025-12-30
AR-SMPLV,Ariana smede plavi(AR-SMPLV),95,75171.47,379050,303878.53,3,2025-05-08,2025-12-30
AR-SRP,Arijana srednje plavi(AR-SRP),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
BD-10,Blowdry svetlo smeda(BD-10),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-1B,Blowdry crna(BD-1B),100,123311.33,529000,405688.67,1,2025-10-27,2025-10-27
BD-2,Blowdry najtamnija smeda(BD-2),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-4,Blowdry tamno smeda(BD-4),70,86317.93,370300,283982.07,1,2025-10-27,2025-10-27
BD-6,Blowdry smeda(BD-6),70,86317.93,370300,283982.07,1,2025-10-27,2025-10-27
BD-613,Blowdry svetlo plava(BD-613),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-K16,Blowdry tamno plava(BD-K16),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-PLAT,Blowdry platina(BD-PLAT),50,61655.67,264500,202844.33000000002,1,2025-10-27,2025-10-27
BD-SMEDPR,Blowdry svetlo smeda s pramenovima(BD-SMEDPR),80,98649.07,423200,324550.93,1,2025-10-27,2025-10-27
BD-SRP,Blowdry srednje plava(BD-SRP),70,86317.93,370300,283982.07,1,2025-10-27,2025-10-27
Crni kratki opk(KRO-1B	),Crni kratki opk(KRO-1B	),140,131792.81,558600,426807.18999999994,4,2025-01-28,2025-12-30
Crni kratki rep(KRR-1B	),Crni kratki rep(KRR-1B	),85,68272.93,330175,261902.06999999998,4,2025-01-28,2025-12-30
DR-1B,DR-1B - Rep crni dugi 90cm(DR-1B),105,114633.06,498750,384116.94,4,2025-01-28,2025-12-30
DR-4,DR-4 - Dugi tamnosmedi(DR-4),50,56830.11,237500,180669.89,2,2025-01-28,2025-08-13
DR-6,DR-6(DR-6),50,52825.23,237500,184674.77,1,2025-05-08,2025-05-08
DR-K16,Dugi tamno plavi(DR-K16),50,52825.23,237500,184674.77,1,2025-05-08,2025-05-08
DR-PP,DR-PP - Rep platinum dugi 90cm(DR-PP),30,31608.739999999998,136800,105191.26000000001,2,2025-05-08,2025-12-30
DR-SIVPL,DR-SIVPL - Rep sivo plava 90cm(DR-SIVPL),25,26326.22,113050,86723.78,2,2025-05-08,2025-12-30
DR-SMPLV,DR-SMPLV - Rep smede plava 90cm(DR-SMPLV),35,38725.770000000004,154850,116124.23,2,2025-01-28,2025-12-30
DR-SRP,DR-SRP(DR-SRP),50,52825.23,237500,184674.77,1,2025-05-08,2025-05-08
EKS-10,EKS-10 - Ekstenzije svetlo smeda(EKS-10),70,67308.7,311500,244191.3,2,2025-01-28,2025-08-13
EKS-1B,EKS-1B - Ekstenzije crna ravna(EKS-1B),280,265310.24,1246000,980689.76,4,2025-01-28,2025-12-30
EKS-4,EKS-4 - Ekstenzije tamno smeda ravna(EKS-4),210,200754.81,897120,696365.19,4,2025-01-28,2025-12-30
EKS-6,Ekstenzije smeda ravna(EKS-6),180,173248.32,801000,627751.6799999999,4,2025-01-28,2025-12-30
EKS-613,Ekstenzije svetlo plava(EKS-613),80,73837.12,356000,282162.88,2,2025-08-13,2025-10-27
EKS-K16,EKS-K16 - Ekstenzije tamno plava ravna(EKS-K16),90,87119.91,400500,313380.08999999997,3,2025-01-28,2025-10-27
EKS-NAT,EKS-NAT - Ekstenzije Natural Plave(EKS-NAT),40,41459.76,178000,136540.24,1,2025-01-28,2025-01-28
EKS-PLAT,Ekstenzije platina (EKS-PLAT),50,46578.82,222500,175921.18,1,2025-08-13,2025-08-13
EKS-PLO,Ekstenzije platinum pl. ombre(EKS-PLO),60,57033.89,258990,201956.11,3,2025-01-28,2025-12-30
EKS-SRP,EKS-SRP - Ekstenzije srednje plava ravna(EKS-SRP),140,133886.91,623000,489113.09,4,2025-01-28,2025-12-30
EKS-SSP,EKS-SSP - Ekstenzije smede s pramenovima ravna(EKS-SSP),20,18488.83,89000,70511.17,1,2025-05-08,2025-05-08
EKSOPK-10,Ekstenzije svetlo smede OPK(EKSOPK-10),30,31435.95,142500,111064.05,1,2025-12-30,2025-12-30
EKSOPK-1B,Ekstenzije crna OPK(EKSOPK-1B),80,84668.88,380000,295331.12,2,2025-08-13,2025-12-30
EKSOPK-4,Ekstenzije tamno smeda OPK(EKSOPK-4),70,74190.23,315820,241629.77000000002,2,2025-08-13,2025-12-30
EKSOPK-6,Ekstenzije smeda OPK(EKSOPK-6),70,74190.23,332500,258309.77000000002,2,2025-08-13,2025-12-30
EKSOPK-613,Ekstenzije svetlo plava OPK(EKSOPK-613),50,53232.93,237500,184267.07,1,2025-08-13,2025-08-13
EKSOPK-K16,Ekstenzije tamno plava OPK(EKSOPK-K16),60,63543.649999999994,273600,210056.34999999998,2,2025-08-13,2025-12-30
EKSOPK-PLAT,Ekstenzije platina OPK(EKSOPK-PLAT),50,53232.93,237500,184267.07,1,2025-08-13,2025-08-13
EKSOPK-SMEDPR,Ekstenzije svetlo smeda s pramenovima OPK(EKSOPK-SMEDPR),50,53232.93,237500,184267.07,1,2025-08-13,2025-08-13
EKSOPK-SRP,Ekstenzije srednje plava OPK(EKSOPK-SRP),80,84500.95,380000,295499.05,2,2025-08-13,2025-12-30
Ekstenzije s plavim pramenovima(EKS-PRAM	),Ekstenzije s plavim pramenovima(EKS-PRAM	),10,9244.42,44500,35255.58,1,2025-05-08,2025-05-08
Ekstenzije sivo plava(EKS-SIVPL	),Ekstenzije sivo plava(EKS-SIVPL	),25,22997.65,111250,88252.35,2,2025-05-08,2025-12-30
Ekstenzije smede plava ravna(EKS-SMPLV	),Ekstenzije smede plava ravna(EKS-SMPLV	),45,43205.06,194910,151704.94,3,2025-01-28,2025-12-30
KRR-10,Rep kratki svetlo smedi(KRR-10),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
KRR-6,Kratki smedi(KRR-6),80,63390.27,319200,255809.73,1,2025-05-08,2025-05-08
KRR-PLAT,Rep kratki platina(KRR-PLAT),50,39924.7,199500,159575.3,1,2025-08-13,2025-08-13
KRR-SRP,Kratki srednje plavi(KRR-SRP),80,63573.74,319200,255626.26,2,2025-05-08,2025-08-13
Karamel ravni(RR-KAR	),Karamel ravni(RR-KAR	),25,22600.120000000003,111250,88649.88,2,2025-01-28,2025-08-13
Mahagoni kratki opk(KRO-MHG	),Mahagoni kratki opk(KRO-MHG	),40,38093.94,159600,121506.06,4,2025-01-28,2025-12-30
Mahagoni kratki(KRR-MHG	),Mahagoni kratki(KRR-MHG	),20,16869.17,79800,62930.83,2,2025-01-28,2025-08-13
Najtamnija smeda afro(AF-2	),Najtamnija smeda afro(AF-2	),80,82097.63,356000,273902.37,2,2025-01-28,2025-08-13
Najtamnija smeda kratki(KRR-2	),Najtamnija smeda kratki(KRR-2	),65,53067.579999999994,259350,206282.41999999998,3,2025-01-28,2025-08-13
Najtamnija smeda(RR-2	),Najtamnija smeda(RR-2	),135,118991.03,600750,481758.97000000003,4,2025-01-28,2025-12-30
Najtamniji smedi kratki opk(KRO-2	),Najtamniji smedi kratki opk(KRO-2	),100,95041.95,399000,303958.05,3,2025-01-28,2025-08-13
OPK-1B,OPK-1B - Rep crna OPK(OPK-1B),320,323214.45,1424000,1100785.55,4,2025-01-28,2025-12-30
OPK-2,Najtamnija smeda OPK(OPK-2),140,141206.57,606980,465773.43,4,2025-01-28,2025-12-30
OPK-6stari,Stari OPK-6(OPK-6stari),20,22210.58,89000,66789.42,1,2025-01-28,2025-01-28
OPK-K16,OPK-K16 - Rep tamno plava OPK(OPK-K16),115,118412.13999999998,511750,393337.86,3,2025-01-28,2025-08-13
OPK-MHG,OPK-MHG - Mahagoni OPK(OPK-MHG),40,39771.81,178000,138228.19,2,2025-05-08,2025-08-13
OPK-NTP,OPK-NTP - Rep Natural plava OPK(OPK-NTP),90,91925.91,400500,308574.09,3,2025-01-28,2025-08-13
OPK-PLO,OPK platinum ombre(OPK-PLO),40,39848.25,178000,138151.75,2,2025-05-08,2025-08-13
OPK-SMEDPR,OPK-SMEDPR(OPK-SMEDPR),100,99429.52,445000,345570.48,2,2025-05-08,2025-08-13
OPK-SMO,OPK-SMO - Rep smeda ombre OPK(OPK-SMO),155,157940.96,673730,515789.04000000004,4,2025-01-28,2025-12-30
OPK-SMP,OPK-SMP - Rep smede plava ombre OPK(OPK-SMP),95,96201.56,422750,326548.44,3,2025-01-28,2025-08-13
P017,P017(P017),12,18345.13,57000,38654.869999999995,1,2025-05-18,2025-05-18
P029,Perika P029(P029),5,4281.12,23750,19468.88,1,2025-11-07,2025-11-07
P043,Perika P043(P043),10,8562.24,47500,38937.76,1,2025-11-07,2025-11-07
P061,Perika P061(P061),20,17302.25,95000,77697.75,2,2025-05-18,2025-11-07
P066,P066(P066),15,22931.41,80850,57918.59,1,2025-05-18,2025-05-18
P068,P068(P068),5,7339.06,26950,19610.94,1,2025-11-07,2025-11-07
P073,P073(P073),5,7339.06,26950,19610.94,1,2025-11-07,2025-11-07
P075,P075(P075),15,22931.41,80850,57918.59,1,2025-05-18,2025-05-18
P078,P078(P078),6,8806.88,32340,23533.120000000003,1,2025-11-07,2025-11-07
P081,Perika P081(P081),11,10845.23,59290,48444.770000000004,2,2025-05-18,2025-11-07
P084,Perika P084(P084),8,11742.5,46000,34257.5,1,2025-11-07,2025-11-07
P091,P091(P091),12,18345.13,64680,46334.869999999995,1,2025-05-18,2025-05-18
P094,Perika P094(P094),5,4892.71,26950,22057.29,1,2025-11-07,2025-11-07
P095,Perika P095(P095),20,29965.739999999998,115000,85034.26000000001,2,2025-05-18,2025-11-07
P099,P099(P099),6,8806.88,32340,23533.120000000003,1,2025-11-07,2025-11-07
PR00,PR00(PR00),5,15847.57,52450,36602.43,1,2025-05-08,2025-05-08
PR1,Perika PR1(PR1),7,26246.260000000002,83300,57053.74,2,2025-05-18,2025-11-07
PR10,PR10(PR10),7,26753.31,83300,56546.69,1,2025-05-18,2025-05-18
PR11,PR11(PR11),13,54586.32,154700,100113.68,2,2025-05-18,2025-11-07
PR15,Perika PR15(PR15),10,46480.74,119000,72519.26000000001,1,2025-11-07,2025-11-07
PR16,PR16(PR16),5,20182.43,59500,39317.57,1,2025-11-07,2025-11-07
PR19,PR19(PR19),7,33887.53,83300,49412.47,1,2025-05-18,2025-05-18
PR2,Perika PR2(PR2),7,26542.95,83300,56757.05,1,2025-11-07,2025-11-07
PR20,PR20(PR20),5,20182.43,59500,39317.57,1,2025-11-07,2025-11-07
PR23,PR23(PR23),22,93871.48999999999,261800,167928.51,2,2025-05-18,2025-11-07
PR25,PR25(PR25),10,44588.86,119000,74411.14,1,2025-05-18,2025-05-18
PR31,Perike PR31(PR31),7,31212.2,83300,52087.8,1,2025-05-18,2025-05-18
PR32,PR32(PR32),10,43314.89,119000,75685.11,1,2025-05-18,2025-05-18
PR33,Perika PR33(PR33),26,112865.88,309400,196534.12,2,2025-05-18,2025-11-07
PR36,Perika PR36(PR36),7,24830.5,73430,48599.5,1,2025-11-07,2025-11-07
PR4,Perika PR4(PR4),15,69721.13,178500,108778.87,1,2025-11-07,2025-11-07
PR40,PR40(PR40),8,30575.22,95200,64624.78,1,2025-05-18,2025-05-18
PR41,Perika PR41(PR41),5,21657.44,59500,37842.56,1,2025-05-18,2025-05-18
PR43,Perika PR43(PR43),15,59239.48,178500,119260.51999999999,1,2025-05-18,2025-05-18
PR44,PR44(PR44),5,16507.88,52450,35942.119999999995,1,2025-05-08,2025-05-08
PR5,PR5(PR5),4,16145.94,47600,31454.059999999998,1,2025-11-07,2025-11-07
PR51,PR51(PR51),15,53339.75,157350,104010.25,2,2025-05-08,2025-12-30
PR53,PR53(PR53),10,35657.03,104900,69242.97,1,2025-05-08,2025-05-08
PR55,PR55(PR55),10,31695.14,104900,73204.86,1,2025-05-08,2025-05-08
PR6,Perika PR6(PR6),10,36945.05,119000,82054.95,1,2025-05-18,2025-05-18
PR7,PR7(PR7),8,31122.04,95200,64077.95999999999,2,2025-05-18,2025-11-07
PR8,Perika PR8(PR8),15,72616.12,178500,105883.88,1,2025-05-18,2025-05-18
PR9,PR9(PR9),10,35511.229999999996,104900,69388.77,2,2025-05-08,2025-12-30
Platinum OPK(OPK-PLAT	),Platinum OPK(OPK-PLAT	),100,99429.52,445000,345570.48,2,2025-05-08,2025-08-13
Platinum afro(AF-PLAT	),Platinum afro(AF-PLAT	),50,49905.87,222500,172594.13,1,2025-08-13,2025-08-13
Platinum ombre kratki opk(KRO-PP	),Platinum ombre kratki opk(KRO-PP	),125,118237.20999999999,489775,371537.79,5,2025-01-28,2025-12-30
Platinum(RR-PLAT	),Platinum(RR-PLAT	),100,86172.26000000001,445000,358827.74,2,2025-05-08,2025-08-13
RR-10,RR-10 - Rep svetlo smeda ravna(RR-10),100,87606.19,445000,357393.81,4,2025-01-28,2025-10-27
RR-1B,RR-1B - Rep crni ravni(RR-1B),260,229397.95,1114280,884882.05,4,2025-01-28,2025-12-30
RR-350,RR-350 - Rep crvena ravna(RR-350),60,52572.29,258990,206417.71,4,2025-01-28,2025-12-30
RR-4,RR-4 - Rep tamno smedi ravni(RR-4),220,194929.05,979000,784070.9500000001,4,2025-01-28,2025-12-30
RR-6,Rep smedi ravni(RR-6),175,155540.9,757390,601849.1000000001,4,2025-01-28,2025-12-30
RR-613,RR-613 - Rep svetlo plava ravna(RR-613),65,56061.66,289250,233188.34,2,2025-05-08,2025-08-13
RR-613/K16(RR-613/K16),RR-613/K16(RR-613/K16),70,61434.63,311500,250065.37,2,2025-01-28,2025-10-27
RR-8,Rep cimet smeda(RR-8),50,43251.76,222500,179248.24,1,2025-08-13,2025-08-13
RR-BRO,Rep bronza ravni(RR-BRO),15,12975.53,66750,53774.47,1,2025-08-13,2025-08-13
RR-K16,RR-K16 - Rep tamno plava ravna(RR-K16),95,84935.42,422750,337814.58,3,2025-01-28,2025-08-13
RR-MHG,RR-MHG - Rep mahagoni ravna(RR-MHG),40,35575.64,178000,142424.36,2,2025-01-28,2025-08-13
RR-PLO,Rep platinum ombre ravni(RR-PLO),30,25951.05,133500,107548.95,1,2025-08-13,2025-08-13
RR-SIVPL,Rep sivo plavi ravni(RR-SIVPL),30,25746.38,125490,99743.62,2,2025-08-13,2025-12-30
RR-SMO,RR-SMO - Rep smeda ombre ravna(RR-SMO),75,66140.23,333750,267609.77,3,2025-01-28,2025-08-13
RR-SMP,RR-SMP - Rep smede plava ravna(RR-SMP),125,109403.51,540230,430826.49000000005,4,2025-01-28,2025-12-30
Rep smeda OPK(OPK-6	),Rep smeda OPK(OPK-6	),130,129053.61,562480,433426.39,3,2025-05-08,2025-12-30
Rep tamno smeda OPK(OPK-4	),Rep tamno smeda OPK(OPK-4	),100,99811.75,445000,345188.25,1,2025-08-13,2025-08-13
Smede plavi kratki opk(KRO-SMPLV	),Smede plavi kratki opk(KRO-SMPLV	),190,177219.05,758100,580880.95,5,2025-01-28,2025-12-30
Smede plavi kratki(KRR-SMPLV	),Smede plavi kratki(KRR-SMPLV	),90,72389.53,351920,279530.47000000003,4,2025-01-28,2025-12-30
Smedi kratki opk(KRO-6	),Smedi kratki opk(KRO-6	),110,104429.05,438900,334470.95,3,2025-01-28,2025-08-13
Smedi ombre kratki opk(KRO-SMO	),Smedi ombre kratki opk(KRO-SMO	),105,99512.95999999999,417470,317957.04,4,2025-01-28,2025-12-30
Smedi ombre kratki(KRR-SMO	),Smedi ombre kratki(KRR-SMO	),60,48686.619999999995,239400,190713.38,3,2025-01-28,2025-08-13
Srednje plavi(RR-SRP	),Srednje plavi(RR-SRP	),140,124393.77,606980,482586.23,4,2025-01-28,2025-12-30
Svetlo Smedi s pramenovima(RR-SMEDPR	),Svetlo Smedi s pramenovima(RR-SMEDPR	),110,94756.36,489500,394743.64,2,2025-05-08,2025-08-13
Svetlo plavi kratki opk(KRO-613	),Svetlo plavi kratki opk(KRO-613	),80,76553.12,319200,242646.88,3,2025-01-28,2025-08-13
Svetlo smeda OPK(OPK-10	),Svetlo smeda OPK(OPK-10	),70,69171.12,311500,242328.88,2,2025-05-08,2025-12-30
TRK-10,Rep svetlo smedi na trakicu(TRK-10),15,11977.41,66750,54772.59,1,2025-08-13,2025-08-13
TRK-1B,Rep crni na trakicu(TRK-1B),40,31687.85,167320,135632.15,2,2025-08-13,2025-12-30
TRK-4,Rep tamno smedi na trakicu(TRK-4),55,43728.24,236740,193011.76,2,2025-08-13,2025-12-30
TRK-6,TRK-6 - Rep smedi trakica(TRK-6),60,47264.02,267000,219735.97999999998,3,2025-08-13,2025-12-30
TRK-613,TRK-613 - Rep svetlo plavi trakica(TRK-613),35,27758.36,147740,119981.64,2,2025-08-13,2025-12-30
TRK-K16,TRK-K16 - Rep tamno plavi trakica(TRK-K16),30,23765.89,133500,109734.11,2,2025-08-13,2025-12-30
Tamno plavi kratki opk(KRO-k16	),Tamno plavi kratki opk(KRO-k16	),110,105406.89,438900,333493.11,3,2025-01-28,2025-08-13
Tamno plavi kratki(KRR-k16	),Tamno plavi kratki(KRR-k16	),85,68976.31,339150,270173.69,3,2025-01-28,2025-08-13
Tamno smeda kratki(KRR-4	),Tamno smeda kratki(KRR-4	),135,108458.34999999999,524290,415831.64999999997,4,2025-01-28,2025-12-30
Tamno smedi kratki opk(KRO-4	),Tamno smedi kratki opk(KRO-4	),130,122548.4,507930,385381.6,4,2025-01-28,2025-12-30
U-1B,U klipse crna(U-1B),210,250791.64,1110900,860108.36,2,2025-05-08,2025-08-13
U-2,U najtamnija smeda(U-2),80,95819.28,423200,327380.72,1,2025-08-13,2025-08-13
U-4,U klipse tamno smeda(U-4),150,179019.02000000002,793500,614480.98,2,2025-05-08,2025-08-13
U-6,U klise smede(U-6),110,131201.11,581900,450698.89,2,2025-05-08,2025-08-13
U-613,U klipse svetlo plava(U-613),50,59428.38,264500,205071.62,1,2025-05-08,2025-05-08
U-K16,U klipse tamno plava(U-K16),60,71314.06,317400,246085.94,1,2025-05-08,2025-05-08
U-MHG,U mahagoni(U-MHG),50,59887.05,264500,204612.95,1,2025-08-13,2025-08-13
U-PLAT,U klipse platinum plava(U-PLAT),50,59428.38,264500,205071.62,1,2025-05-08,2025-05-08
U-SMEDPR,U-SMEDPR(U-SMEDPR),60,71314.06,317400,246085.94,1,2025-05-08,2025-05-08
U-SRP,U klipse srednje plava(U-SRP),110,131201.11,581900,450698.89,2,2025-05-08,2025-08-13
